title,artist
NI BIEN NI MAL,Bad Bunny
Si Se Da - Remix,Myke Towers
Down,Fifth Harmony
Rainy Days,V
Santa Baby,Kylie Minogue
I AM WOMAN,Emmy Meli
SHEESH,BABYMONSTER
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby
BIRDS OF A FEATHER,Billie Eilish
Bellaquita - Remix,Dalex
Ophelia,The Lumineers
Mother's Daughter,Miley Cyrus
BURN,¥$
Little Bit of Love,Tom Grennan
Shaky Shaky,Daddy Yankee
Nice To Meet Ya,Niall Horan
La Gozadera,Gente De Zona
Thunder,Gabry Ponte
Camelot,NLE Choppa
Running Out,Matoma
Heart To Heart,Mac DeMarco
Evoque Prata,MC MENOR HR
Automotivo Bibi Fogosa,Bibi Babydoll
Mob Ties,Drake
Rolex,Ayo & Teo
loml,Taylor Swift
KOD,J. Cole
Fine China,Future
Hate The Other Side,Juice WRLD
It's A Vibe,2 Chainz
Las Morras,Peso Pluma
1950,King Princess
Hallelujah,Pentatonix
Master Of Puppets,Metallica
Esqueça-Me Se For Capaz,Marília Mendonça
Conversations,Juice WRLD
Superheroes,The Script
You Make It Feel Like Christmas,Gwen Stefani
Some Say - Felix Jaehn Remix,Nea
El Farsante,Ozuna
Toothbrush,DNCE
Makeba,Jain
Dile Que Tu Me Quieres,Ozuna
Heaven,Avicii
Mi Bello Angel,Natanael Cano
Qué Agonía,Yuridia
A Different Way,DJ Snake
ADIVINO,Myke Towers
"Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap
Formula,Labrinth
Million Reasons,Lady Gaga
Bad Decisions,benny blanco
Raging,Kygo
Startender,A Boogie Wit da Hoodie
favorite,Isabel LaRosa
Come and See Me,PARTYNEXTDOOR
The Ringer,Eminem
Iko Iko,Justin Wellington
2 Phones,Kevin Gates
Salt,Ava Max
Heaven,Julia Michaels
TOES,DaBaby
La Bebe,Yng Lvcas
if u think i'm pretty,Artemas
Splashin,Rich The Kid
KICK BACK,Kenshi Yonezu
Machika,J Balvin
DANÇARINA,PEDRO SAMPAIO
Ibiza,Ozuna
You Belong With Me (Taylor’s Version),Taylor Swift
Ram Pam Pam,NATTI NATASHA
Nowadays,Lil Skies
SugarCrash!,ElyOtto
Nail Tech,Jack Harlow
Potion,Calvin Harris
Santa's Coming for Us,Sia
Body Say,Demi Lovato
Jugaste y Sufrí,Eslabon Armado
Tormenta,Gorillaz
New Americana,Halsey
El Rescate,Grupo Marca Registrada
Good Old Days,Macklemore
Deep End,Fousheé
Lost Cause,Billie Eilish
Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin
Driving Home for Christmas,Chris Rea
Little Freak,Harry Styles
SWISH,Tyga
Labyrinth,Taylor Swift
Fireball,Pitbull
Blurred Lines,Robin Thicke
Something In The Way - Remastered,Nirvana
Sing Me to Sleep,Alan Walker
Space Cadet,Metro Boomin
Mal Feito - Ao Vivo,Hugo & Guilherme
Sial,Mahalini
Here for You,Kygo
Follow God,Kanye West
In Your Eyes,Robin Schulz
MALA,6ix9ine
ME!,Taylor Swift
Make Me (Cry),Noah Cyrus
Lean,Super Yei
Esskeetit,Lil Pump
Asesina - Remix,Brytiago
You Was Right,Lil Uzi Vert
Tu hai kahan,AUR
Like Crazy (English Version),Jimin
New Man,Ed Sheeran
FTCU,Nicki Minaj
Don't Be So Shy - Filatov & Karas Remix,Imany
Rover,S1mba
Hipócrita,Anuel AA
Alguien Robo,Sebastian Yatra
Forever,Justin Bieber
Love on Me,Galantis
After LIKE,IVE
penjaga hati,Nadhif Basalamah
Slide Away,Miley Cyrus
My Bad,Khalid
Rake It Up,Yo Gotti
El Farsante - Remix,Ozuna
Ghost Town,Adam Lambert
Esperándote,Manuel Turizo
Mama Said,Lukas Graham
Rich & Sad,Post Malone
Baby (Lil Baby feat. DaBaby),Quality Control
Hayloft,Mother Mother
Mujeriego,Ryan Castro
Massive,Drake
A Whole New World (End Title),ZAYN
CORAZÓN VACÍO,Maria Becerra
needy,Ariana Grande
"Volta Bebê, Volta Neném",Dj Guuga
I'll Be There,Jess Glynne
The One,The Chainsmokers
Say So,Doja Cat
3 A.M.,Jesse & Joy
Tell Me You Love Me,Demi Lovato
No Vacancy,OneRepublic
Stereo Hearts,Gym Class Heroes
Sweet Nothing,Taylor Swift
Rewrite The Stars,James Arthur
Darkside,Alan Walker
NASA,Ariana Grande
Kesariya,Pritam
Best Day Of My Life,American Authors
I Want You To Know,Zedd
My Way,Fetty Wap
Niña Bonita,Feid
Deck The Hall,Nat King Cole
Deja Vu,J. Cole
The Heart Wants What It Wants,Selena Gomez
Tú Me Dejaste De Querer,C. Tangana
Ayer Me Llamó Mi Ex,KHEA
Run BTS,BTS
Highway to Hell,AC/DC
Don't Worry,Madcon
BIG BANK,YG
Trust Nobody,Cashmere Cat
Starlight,Dave
Jealous,Nick Jonas
Quiero Repetir,Ozuna
PAM,Justin Quiles
obsessed,Olivia Rodrigo
Feel It,d4vd
New Freezer,Rich The Kid
offline,Young Miko
Be Careful,Cardi B
Like It Is,Kygo
Forget Me,Lewis Capaldi
Illusion,Dua Lipa
Demasiadas Mujeres,C. Tangana
Die Hard,Kendrick Lamar
"Santa, Can’t You Hear Me",Kelly Clarkson
Bon Appétit,Katy Perry
Cheques,Shubh
Setting Fires,The Chainsmokers
Area Codes,Kaliii
When You're Gone,Shawn Mendes
On The Ground,ROSÉ
Nasty Freestyle,T-Wayne
En Paris,El Chachito
The Man,Aloe Blacc
Love Not War (The Tampa Beat),Jason Derulo
POP!,NAYEON
Black Swan,BTS
Let Me,ZAYN
How Would You Feel (Paean),Ed Sheeran
Seu Brilho Sumiu - Ao Vivo,Israel & Rodolffo
"Ele É Ele, Eu Sou Eu",Wesley Safadão
Down Under,Luude
No Heart,21 Savage
Push Ups,Drake
Satellite,Harry Styles
Love Me,Lil Tecca
In Da Club,50 Cent
Fresh Out The Slammer,Taylor Swift
Narcos,Migos
All Eyes on You,Meek Mill
"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap
Would You Ever,Skrillex
Catch & Release - Deepend Remix,Matt Simons
El Efecto,Rauw Alejandro
To Die For,Sam Smith
Banana,Conkarah
Wasted,Juice WRLD
Came Here for Love,Sigala
LA PEOPLE II,Peso Pluma
Rompe La Dompe,Peso Pluma
September,"Earth, Wind & Fire"
Vossi Bop,Stormzy
A-O-K,Tai Verdes
Best Part,H.E.R.
Anaconda,Nicki Minaj
I Don't Mind,USHER
SUPERMODEL,Måneskin
We Paid,Lil Baby
Good News,Mac Miller
Post to Be,Omarion
Overpass Graffiti,Ed Sheeran
One Of Your Girls,Troye Sivan
El Apagón,Bad Bunny
Aloha,Maluma
Overdrive,Ofenbach
Big Rings,Drake
History,Olivia Holt
Rodeo,Lil Nas X
The Alchemy,Taylor Swift
Gatita,Bellakath
Sixteen,Ellie Goulding
ROCKSTAR,Junior H
Wanted You,NAV
hope ur ok,Olivia Rodrigo
I Don't Wanna Wait,David Guetta
Vai malandra,Anitta
Die For Me,Post Malone
The Feeling,Justin Bieber
Home,mgk
QUEMA,Ryan Castro
Novidade na Área,Mc Livinho
Dream On,Aerosmith
Still Here,Drake
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin
Made For Me,Muni Long
Pussy & Millions,Drake
Blem,Drake
I Wanna Know,NOTD
For Free,DJ Khaled
Black Magic,Little Mix
OOOUUU,Young M.A
The Greatest Show,Hugh Jackman
Baguettes in the Face,Mustard
Here's Your Perfect,Jamie Miller
Husn,Anuv Jain
Speechless,Robin Schulz
Did It Again,Lil Tecca
Love Of My Life,Harry Styles
Omen,Disclosure
BOOKER T,Bad Bunny
Summer Sixteen,Drake
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW
bloodline,Ariana Grande
Cinderella,Future
bye,Ariana Grande
Safe And Sound,Capital Cities
bad idea,Ariana Grande
Ghostface Killers,21 Savage
Bipolar,Mc Davi
Grapejuice,Harry Styles
Hasta Abajo,KEVIN ROLDAN
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift
Halo,Beyoncé
So High School,Taylor Swift
LA PEOPLE,Peso Pluma
End Game,Taylor Swift
Sorry - Latino Remix,Justin Bieber
the 1,Taylor Swift
Si Supieras,Daddy Yankee
Habits (Stay High),Tove Lo
Blind,SZA
Make You Mine,PUBLIC
Tiimmy Turner,Desiigner
Sun Is Shining,Axwell /\ Ingrosso
Agosto,Bad Bunny
Find U Again,Mark Ronson
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap
Déjate Llevar,Juan Magán
El Mismo Aire - con Pablo Alborán,Camilo
Loco Enamorado,Abraham Mateo
Never Felt So Alone,Labrinth
Báilame,Nacho
FAKE LOVE,BTS
Moves,Big Sean
PPP,KEVIN ROLDAN
SOLO,JENNIE
High On Life,Martin Garrix
Tell Em,Cochise
Goteo,Duki
All We Got,Robin Schulz
Excuses,AP Dhillon
Confident,Demi Lovato
Life's A Mess,Juice WRLD
APESHIT,The Carters
Tapão Na Raba,Raí Saia Rodada
Audio,Sia
Walk On Water,Eminem
This City,Sam Fischer
In My Room,Yellow Claw
Say Something,A Great Big World
Estamos Bien,Bad Bunny
F.N,Lil Tjay
THE SHADE,Rex Orange County
REMEDY,Alesso
Limbo,Freddie Dredd
Ropa Cara,Camilo
Bad Bad Bad,Young Thug
Carol of the Bells,Mykola Dmytrovych Leontovych
Faucet Failure,Ski Mask The Slump God
BABY OTAKU,Pablito Pesadilla
Fruto,Bizarrap
Krippy Kush,Farruko
Peanut Butter Jelly,Galantis
LOCATION,KAROL G
New Jeans,NewJeans
Mi Cama,KAROL G
THE LONELIEST,Måneskin
"Baby, It's Cold Outside",Brett Eldredge
Get Low,Zedd
Bound 2,Kanye West
Love Again,The Kid LAROI
Barking,Ramz
Me Too,Meghan Trainor
DANCE CRIP,Trueno
"Satranga (From ""ANIMAL"")",Arijit Singh
Elvira,Oscar Maydon
Flex,Polo G
Facas - Ao Vivo,Diego & Victor Hugo
Story of My Life,One Direction
"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap
Se Le Ve,Sech
Jiwa Yang Bersedih,Ghea Indrawari
VALENTINO,24kGoldn
Fall,Eminem
I Can Fix Him (No Really I Can),Taylor Swift
If We Ever Broke Up,Mae Stephens
Dick,StarBoi3
For A Better Day,Avicii
The Sound of Silence - CYRIL Remix,Disturbed
Quiéreme Mientras Se Pueda,Manuel Turizo
NDA,Billie Eilish
Afraid To Feel,LF SYSTEM
Over Now,Post Malone
Jerusalema,Master KG
Enchanted (Taylor's Version),Taylor Swift
Don't Tell 'Em,Jeremih
What I Like About You,Jonas Blue
This Is How We Do,Katy Perry
STAYING ALIVE,DJ Khaled
WANDA,Quevedo
Major Distribution,Drake
Bad,David Guetta
Ponte Pa' Mi,Justin Quiles
Style (Taylor's Version),Taylor Swift
Off The Grid,Kanye West
Under Control,Calvin Harris
Supermarket Flowers,Ed Sheeran
Tick Tock,Clean Bandit
El Favor,Dímelo Flow
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin
Champagne Poetry,Drake
Suicidal (Remix),YNW Melly
"Ride Or Die, Pt. 2",Sevdaliza
drunk text,Henry Moodie
Purple Lamborghini,Skrillex
Not Allowed,TV Girl
Barcelona,Ed Sheeran
Moon,Kanye West
New Light,John Mayer
As I Am,Justin Bieber
Sola,Manuel Turizo
From The Start,Laufey
Caramelo - Remix,Ozuna
Outta My Head,Khalid
Headshot,Lil Tjay
Celoso,Lele Pons
Do It Again,Pia Mia
m y . l i f e,J. Cole
HIGHEST IN THE ROOM,Travis Scott
Flashlight,Jessie J
False Alarm,Matoma
Atrévete,Nicky Jam
ALMAS GEMELAS,Myke Towers
Please Come Home for Christmas - Eagles 2013 Remaster,Eagles
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain
Killshot,Eminem
Coração Cachorro,Avine Vinny
Still Falling For You,Ellie Goulding
Besándote,Piso 21
Shotta Flow (Feat. Blueface) [Remix],NLE Choppa
Oh Juliana,Niack
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
Sail,AWOLNATION
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap
Powerful,Major Lazer
Zona De Perigo,Leo Santana
LOVE DIVE,IVE
Chun-Li,Nicki Minaj
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes
Rich Men North of Richmond,Oliver Anthony Music
Una Nota,J Balvin
Be The One,Dua Lipa
SLUT ME OUT,NLE Choppa
Mariposa,Peach Tree Rascals
Sidewalks,The Weeknd
Last Hurrah,Bebe Rexha
No Type,Rae Sremmurd
One More Sleep,Leona Lewis
Bloqueado - Ao Vivo,Gusttavo Lima
The Family Madrigal,Stephanie Beatriz
Ransom,Lil Tecca
Ahora,J Balvin
That Way - Bonus Track,Lil Uzi Vert
Duro y Suave,Leslie Grace
Mona Lisa,Lil Wayne
Por Fin Te Encontré,Cali Y El Dandee
All I Want,Olivia Rodrigo
Selfish,Madison Beer
Back In Blood,Pooh Shiesty
Machu Picchu,Camilo
Skin,Rag'n'Bone Man
On The Road,Post Malone
Get Lucky,Daft Punk
Used To Be Young,Miley Cyrus
Hold My Hand,Lady Gaga
Baila Conmigo,Dayvi
She Loves Control,Camila Cabello
Where Ya At,Future
EASY,LE SSERAFIM
Baby Me Atende,Matheus Fernandes
Only,Nicki Minaj
Ciao Adios,Anne-Marie
Steady 1234,Vice
Attention,NewJeans
Level of Concern,Twenty One Pilots
Breathe,Yeat
Summer Air,ItaloBrothers
Cupid's Chokehold / Breakfast in America,Gym Class Heroes
Escapism. - Sped Up,RAYE
Every Summertime,NIKI
La Luz,Sech
Joy To The World,Nat King Cole
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk
Can't Remember to Forget You,Shakira
Dirty Sexy Money,David Guetta
If You're Over Me,Olly Alexander (Years & Years)
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde
Hope,The Chainsmokers
p r i d e . i s . t h e . d e v i l,J. Cole
New Patek,Lil Uzi Vert
You Got It,Vedo
21,Polo G
HIBIKI,Bad Bunny
Up All Night,Khalid
Pray,Sam Smith
STOOPID,6ix9ine
WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,TWISTED
#SELFIE,The Chainsmokers
If I'm Lucky,Jason Derulo
Good Thing,Zedd
Real Friends,Camila Cabello
Intoxicated,Martin Solveig
GIVENCHY,Duki
Working For It - Bonus Track,ZHU
eternal sunshine,Ariana Grande
all-american bitch,Olivia Rodrigo
You Proof,Morgan Wallen
Kahani Suno 2.0,Kaifi Khalil
imgonnagetyouback,Taylor Swift
Six Feet Under,The Weeknd
I’m Ready,Sam Smith
Qué Pena,Maluma
Cinema,Harry Styles
"Would've, Could've, Should've",Taylor Swift
Disco Arranhado - Funk Remix,Malu
in my miNd,Maty Noyes
Travesuras - Remix,Nio Garcia
Ugly Heart,G.R.L.
Like It's Christmas,Jonas Brothers
Legend,Drake
Toma Toma Vapo Vapo,Zé Felipe
champagne problems,Taylor Swift
Tears,Clean Bandit
92 Explorer,Post Malone
Dear Future Husband,Meghan Trainor
On Top Of The World,Imagine Dragons
You Make Me,Avicii
Instruction,Jax Jones
Entre Nosotros (Remix) [con Nicki Nicole],Tiago PZK
Chale,Eden Muñoz
i,Lil Skies
REMIX EXCLUSIVO,Feid
Money Longer,Lil Uzi Vert
Slumber Party,Ashnikko
You Don't Own Me,SAYGRACE
GALOPA,PEDRO SAMPAIO
Earth,Lil Dicky
In My Head,Lil Tjay
Zack And Codeine,Post Malone
Sweet Lovin',Sigala
On BS,Drake
MORENA,Luan Santana
Purpose,Justin Bieber
Dreamer,Axwell /\ Ingrosso
Hot Girl Summer,Megan Thee Stallion
Keep Driving,Harry Styles
KU LO SA - A COLORS SHOW,Oxlade
Daydreaming,Harry Styles
TOO MUCH,The Kid LAROI
LUNA,Peso Pluma
Sofia,Alvaro Soler
Alive,Sia
Topanga,Trippie Redd
It's Gotta Be You,Isaiah Firebrace
Phir Aur Kya Chahiye,Sachin-Jigar
There's No Way,Lauv
Just You and I,Tom Walker
Emotionless,Drake
Pretty Savage,BLACKPINK
Blank Space (Taylor's Version),Taylor Swift
ETA,NewJeans
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi
The Fix,Nelly
Be Honest,Jorja Smith
Trip,Ella Mai
Fun,Pitbull
La Zona,Bad Bunny
Wrapped Up,Olly Murs
By Your Side,Calvin Harris
Malas Decisiones,Kenia OS
I AM,IVE
Cupid,FIFTY FIFTY
Single Soon,Selena Gomez
Esquema Preferido,DJ Ivis
Solid,Young Stoner Life
Already Dead,Juice WRLD
Hunter,Galantis
Índigo,Camilo
Same Bitches,Post Malone
Ginseng Strip 2002,Yung Lean
NUMB,XXXTENTACION
SPOT!,ZICO
Bar,TINI
44 More,Logic
REINA,Mora
Ficha Limpa,Gusttavo Lima
Sun Goes Down,Robin Schulz
Done for Me,Charlie Puth
Love In The Dark,Adele
Talk that Talk,TWICE
"Apna Bana Le (From ""Bhediya"")",Arijit Singh
Reggaetonera,Anuel AA
Go Stupid,Polo G
WILDFLOWER,Billie Eilish
SEJODIOTO,KAROL G
Try Me,Jason Derulo
Youth feat. Khalid,Shawn Mendes
That That (prod. & feat. SUGA of BTS),PSY
Te Quemaste,Manuel Turizo
Wasted Times,The Weeknd
Come First,Terror Jr
El Perdedor,Maluma
Fan de Tus Fotos,Nicky Jam
Let It Go,Idina Menzel
Yikes,Kanye West
"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap
The Night Is Still Young,Nicki Minaj
Tired,Alan Walker
Entre las de 20,Bizarrap
The Prophecy,Taylor Swift
Ya No Somos Ni Seremos,Christian Nodal
Stargazing,Myles Smith
Soltera,Lunay
Si Quieren Frontear,Duki
The Other,Lauv
Tom's Diner,AnnenMayKantereit
née-nah,21 Savage
The Man,Taylor Swift
REEL IT IN,Aminé
Roses,benny blanco
Not Alike,Eminem
Madrid,Maluma
Don Don,Daddy Yankee
Old Thing Back,Matoma
Lighthouse - Andrelli Remix,Hearts & Colors
Secret Love Song,Little Mix
What Christmas Means To Me,Stevie Wonder
Feelings,Lauv
Desde Esa Noche,Thalia
HACIENDO QUE ME AMAS,Bad Bunny
ELEVEN,IVE
PROBLEMA,Daddy Yankee
Red Roses,Lil Skies
This Summer,Maroon 5
Pero Ya No,Bad Bunny
Virginia Beach,Drake
Clara Bow,Taylor Swift
Pa' Olvidarme De Ella,Piso 21
All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones
Stan,Eminem
Runnin,21 Savage
Hips Don't Lie,Shakira
Rudolph The Red-Nosed Reindeer,Dean Martin
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO
Mamichula - con Nicki Nicole,Trueno
WORKIN ME,Quavo
"Baby, It's Cold Outside",Dean Martin
Cloud 9,Beach Bunny
FUK SUMN,¥$
Never Enough,Loren Allred
Don't Look Down,Martin Garrix
Hopeless Romantic,Wiz Khalifa
Leave a Light On,Tom Walker
Warriors,Imagine Dragons
Into the Unknown,Idina Menzel
TIC TOC,6ix9ine
Nobody's Love,Maroon 5
sentaDONA (Remix) s2,Davi Kneip
Reckless,Madison Beer
A Million Dreams,Ziv Zaifman
Nightmare,Halsey
10 Freaky Girls,Metro Boomin
BLUE,Billie Eilish
X,ScHoolboy Q
Europapa,Joost
Modo DND,Xavi
Circo Loco,Drake
do re mi,blackbear
Heaven,Niall Horan
fake smile,Ariana Grande
Ambiente,J Balvin
act ii: date @ 8,4batz
Mi Cama - Remix,KAROL G
Malvada,Zé Felipe
Ya Me Enteré,Reik
Rumors,Lizzo
Pity Party,Melanie Martinez
Turks,NAV
Childs Play,Drake
Try Me,The Weeknd
Gorgeous,Taylor Swift
monster,21 Savage
ALIEN SUPERSTAR,Beyoncé
Haegeum,Agust D
"Merry Christmas, Happy Holidays",*NSYNC
Slow Motion,Trey Songz
Say Something,A Great Big World
Miss You,James Hersey
Gyal You A Party Animal - Remix,Charly Black
Get Ugly,Jason Derulo
4 AM,2 Chainz
Wicked,Future
Hollow,Tori Kelly
ecstacy (slowed),SUICIDAL-IDOL
the grudge,Olivia Rodrigo
Rock Bottom,Hailee Steinfeld
VIBE,TAEYANG
Suncity,Khalid
You & Me,JENNIE
Start Again,OneRepublic
PUFFIN ON ZOOTIEZ,Future
Te Soñé De Nuevo,Ozuna
Late At Night,Roddy Ricch
212,Chefin
Nancy Mulligan,Ed Sheeran
Elevate,Drake
Family Matters,Drake
The Astronaut,JIN
Psycho,Red Velvet
Si Me Tomo Una Cerveza,Migrantes
Clout,Offset
PA' ROMPERLA,Bad Bunny
I CAN'T STOP ME,TWICE
Girls,Rita Ora
Dynamite,Nause
Boo'd Up,Ella Mai
Abcdario,Eden Muñoz
Takin' Shots,Post Malone
Poblado,Crissin
Desce Pro Play (PA PA PA),ZAAC
TATI,6ix9ine
Recairei - Ao Vivo,Os Barões Da Pisadinha
malibu,sangiovanni
Happy,Various Artists
Pass The Dutchie,Musical Youth
Cake - Challenge Version,Flo Rida
SKINNY,Billie Eilish
Free Smoke,Drake
OMG,Camila Cabello
I Saw Mommy Kissing Santa Claus,The Jackson 5
You,Regard
Watch,Travis Scott
Si Te La Encuentras Por Ahí,Feid
Mark My Words,Justin Bieber
Turn Me On,Riton
Our Song,Anne-Marie
The Black Dog,Taylor Swift
ilomilo,Billie Eilish
Antidepresan,Mert Demir
Typa Girl,BLACKPINK
Rap God,Eminem
Legends,Juice WRLD
"Arcángel: Bzrp Music Sessions, Vol. 54",Bizarrap
True Love,Kanye West
110,Capital Bra
Pipoco,Ana Castela
Bailar,Deorro
Medusa,Jhayco
wokeuplikethis*,Playboi Carti
"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap
Out of Time,The Weeknd
ON,BTS
Writing on the Wall,French Montana
Summertime Magic,Childish Gambino
No Complaints,Metro Boomin
Hearts Don't Break Around Here,Ed Sheeran
MIC Drop,BTS
the last great american dynasty,Taylor Swift
Soltera (Remix),Lunay
FRANCHISE,Travis Scott
No Pressure,Justin Bieber
Me Gusta,Anitta
DEJA VU,Luan Santana
Love Me Again,John Newman
Keanu Reeves,Logic
Fever,Dua Lipa
All For Us - from the HBO Original Series Euphoria,Labrinth
Swim,Chase Atlantic
Fulanito,Becky G
Sticky,Drake
Golden Light,Madden
L’AMOUR DE MA VIE,Billie Eilish
Investe Em Mim,Jonas Esticado
Quer Voar,Matuê
Greatest,Eminem
6 AM,J Balvin
Digitando,Gustavo Moura & Rafael
Don't Check On Me,Chris Brown
TROLLZ,6ix9ine
Mas Rica Que Ayer,Anuel AA
Brividi,Mahmood
L.A.LOVE (la la),Fergie
Perreo en La Luna,Rich Music LTD
Merry Christmas Everyone - Remastered,Shakin' Stevens
White Christmas (duet with Shania Twain),Michael Bublé
Ameaça,Paulo Pires
Rockin’,The Weeknd
Stay Alive (Prod. SUGA of BTS),Jung Kook
Is There Someone Else?,The Weeknd
365,Zedd
All The Way Up,Fat Joe
Live It Up - Official Song 2018 FIFA World Cup Russia,Nicky Jam
Static,Steve Lacy
Bonfire,Felix Jaehn
The Archer,Taylor Swift
Santa Baby,Ariana Grande
Hey,FÄIS
River,Miley Cyrus
"Honey, I'm Good.",Andy Grammer
Super Far,LANY
Soldi,Mahmood
Still Be Friends,G-Eazy
Higher Power,Coldplay
Behind Barz - Bonus,Drake
Winter Wonderland,Tony Bennett
The Great War,Taylor Swift
Breathe,Seeb
Only You,Cheat Codes
Yeah!,USHER
Como Antes,Yandel
THE GREATEST,Billie Eilish
The Bigger Picture,Lil Baby
Me And My Broken Heart,Rixton
Never Going Home,Kungs
PAINTING PICTURES,Superstar Pride
Stay With Me,Calvin Harris
American Oxygen,Rihanna
Taped up Heart,KREAM
A Thousand Bad Times,Post Malone
All of Me (Tiësto's Birthday Treatment Remix),John Legend
SG,DJ Snake
Infeliz,Arcángel
She Looks So Perfect,5 Seconds of Summer
Tell Me U Luv Me,Juice WRLD
Love Runs Out,OneRepublic
Sauce It Up,Lil Uzi Vert
Aloha,Møme
Alane,Robin Schulz
Can I Get It,Adele
Good Grief,Bastille
I Need Your Love,Calvin Harris
Be Mine,Ofenbach
Ahora Me Llama,KAROL G
Solteiro Forçado - Boiadeira Internacional,Ana Castela
Hype,Drake
motive,Ariana Grande
What Else Can I Do?,Diane Guerrero
II MOST WANTED,Beyoncé
Antes,Anuel AA
Red Lights,Tiësto
Problemón,Alvaro Diaz
Wolves,Big Sean
Beautiful,Bazzi
meet the grahams,Kendrick Lamar
a m a r i,J. Cole
My My My!,Troye Sivan
TUS LÁGRIMAS,Mora
Uber Everywhere,MadeinTYO
Juice,Lizzo
Bala Love,Mc Anjim
2 Be Loved (Am I Ready),Lizzo
Atrasadinha - Ao Vivo,Felipe Araújo
A Gente Fez Amor - Ao Vivo,Gusttavo Lima
Die Young,Sleepy Hallow
Eraser,Ed Sheeran
Relationship,Young Thug
Bounce Out With That,YBN Nahmir
Bigger Than The Whole Sky,Taylor Swift
Dua Lipa,Jack Harlow
Double Fantasy,The Weeknd
Was du Liebe nennst,Bausa
Gently,Drake
All For Us,Labrinth
We Can't Stop,Miley Cyrus
THANK GOD,Travis Scott
No Friends In The Industry,Drake
POLARIS - Remix,SAIKO
Dos Oruguitas,Sebastian Yatra
Princess Diana,Ice Spice
Make Me...,Britney Spears
Tap In,Saweetie
Perfect Illusion,Lady Gaga
On A Roll,Ashley O
MONOPOLY,Ariana Grande
Remember The Name,Ed Sheeran
Shots & Squats,Vigiland
Hell N Back,Bakar
Nights With You,MØ
With You,Drake
Bola Rebola,Tropkillaz
Quit,Cashmere Cat
Mr. Right Now,21 Savage
No Quiero Amarte,Justin Quiles
supernatural,Ariana Grande
R.I.P.,Sofía Reyes
Boyfriends,Harry Styles
Apna Bana Le,Sachin-Jigar
Runnin' (Lose It All),Naughty Boy
The Race,Tay-K
Teenage Fever,Drake
Everyday,Ariana Grande
PTSD,G Herbo
come out and play,Billie Eilish
Wandered To LA,Juice WRLD
Have Mercy,Chlöe
Your Love,The Outfield
XXX. FEAT. U2.,Kendrick Lamar
Reminds Me Of You,Juice WRLD
Jail,Kanye West
Pa Olvidarte,ChocQuibTown
A La Antigüita,Calibre 50
Babydoll,Dominic Fike
my tears ricochet,Taylor Swift
That's How You Know,Nico & Vinz
Bed Of Lies,Nicki Minaj
La Boca - Remix,Mau y Ricky
Filthy,Justin Timberlake
LLYLM,ROSALÍA
Make It Right,BTS
Sua cara,Major Lazer
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin
Lonely,Diplo
Get It Together,Drake
Spin Bout U,Drake
GHOST TOWN,Benson Boone
Bills,LunchMoney Lewis
Killer Queen - Remastered 2011,Queen
Side Effects,The Chainsmokers
Todo Mundo Menos Você,Marília Mendonça
i n t e r l u d e,J. Cole
Miss You,Cashmere Cat
Liberdade Provisória,Henrique & Juliano
Ramenez la coupe à la maison,Vegedream
Used to This,Future
Planes,Jeremih
ghostin,Ariana Grande
Heartbeat Song,Kelly Clarkson
Daisies,Katy Perry
Latch - Acoustic,Sam Smith
Back To December (Taylor's Version),Taylor Swift
Peru,Fireboy DML
The Weekend - Funk Wav Remix,SZA
GOODMORNINGTOKYO!,TOKYO’S REVENGE
Hotter Than Hell,Dua Lipa
Pumped Up Kicks,Foster The People
"Ranjha (From ""Shershaah"")",Jasleen Royal
Jingle Bells,Michael Bublé
Bande organisée,Jul
Presepada,Marília Mendonça
listen before i go,Billie Eilish
don't wanna break up again,Ariana Grande
10 Things I Hate About You,Leah Kate
