title,author
Djinn Patrol on the Purple Line,Deepa Anappara
Magnolia Parks,Jessa Hastings
The Seven Year Slip,Ashley Poston
The Turnout,Megan Abbott
The Nineties,Chuck Klosterman
Icebreaker,A.L. Graziadei
A Beautifully Foolish Endeavor,Hank Green
The Bright Side Sanctuary for Animals,Becky Mandelbaum
Sharks in the Time of Saviors,Kawai Strong Washburn
All the Feels,Olivia Dade
Mary Jane,Jessica Anya Blau
Hang the Moon,Jeannette Walls
The Madness of Crowds,Louise Penny
The Tower of Nero,Rick Riordan
The Very Secret Society of Irregular Witches,Sangu Mandanna
To The End,J.  Bree
Lady Tan’s Circle of Women,Lisa See
Seven Days in June,Tia Williams
A Stitch in Time,Kelley Armstrong
Once Upon a Broken Heart,Stephanie Garber
Irreversible Damage: The Transgender Craze Seducing Our Daughters,Abigail Shrier
The Promise,Damon Galgut
Lore Olympus: Volume Four,Rachel  Smythe
The Summer Deal,Jill Shalvis
Lords of Mercy,Angel Lawson
Dawnshard,Brandon Sanderson
The House of Doors,Tan Twan Eng
Powerless,Lauren  Roberts
"World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments",Aimee Nezhukumatathil
Honey Girl,Morgan  Rogers
What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo
All This Time,Mikki Daughtry
Beyond the Wand: The Magic and Mayhem of Growing Up a Wizard,Tom Felton
Little Secrets,Jennifer Hillier
How to Sell a Haunted House,Grady Hendrix
Go as a River,Shelley Read
Antiracist Baby,Ibram X. Kendi
House of Flame and Shadow,Sarah J. Maas
Strange Hotel,Eimear McBride
Almost Just Friends,Jill Shalvis
Finna,Nino Cipri
Twilight of Democracy: The Seductive Lure of Authoritarianism,Anne Applebaum
Return of the Trickster,Eden Robinson
Utopia Avenue,David Mitchell
The First Woman,Jennifer Nansubuga Makumbi
The Cheat Sheet,Sarah       Adams
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown
Have You Seen Me?,Kate White
The Bone Maker,Sarah Beth Durst
The Constant Rabbit,Jasper Fforde
"Hook, Line, and Sinker",Tessa Bailey
Wild Sign,Patricia Briggs
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates
Don’t Burn This Book: Thinking for Yourself in an Age of Unreason,Dave  Rubin
"Four Hundred Souls: A Community History of African America, 1619-2019",Ibram X. Kendi
The Bandit Queens,Parini Shroff
Float Plan,Trish Doller
Dear Justyce,Nic Stone
The Violin Conspiracy,Brendan Slocumb
What Moves the Dead,T. Kingfisher
"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller
"Imogen, Obviously",Becky Albertalli
"Agent Sonya: Lover, Mother, Soldier, Spy",Ben Macintyre
The Lost Girls of Devon,Barbara O'Neal
"Corona, False Alarm?: Facts and Figures",Karina  Reiss
Terciel and Elinor,Garth Nix
Young Mungo,Douglas   Stuart
No Time Like the Future: An Optimist Considers Mortality,Michael J. Fox
A Shadow in the Ember,Jennifer L. Armentrout
The Other Side of Beautiful,Kim Lock
Our Wives Under the Sea,Julia Armfield
Once Upon a Time in Hollywood,Quentin Tarantino
"What Happened To You? Conversations on Trauma, Resilience, and Healing",Bruce D. Perry
When We Were Birds,Ayanna Lloyd Banwo
Hester,Laurie Lico Albanese
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake
You Deserve Each Other,Sarah Hogle
The Island,Adrian McKinty
"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela  Chen
Take My Hand,Dolen Perkins-Valdez
She Gets the Girl,Rachael Lippincott
Wilmington's Lie: The Murderous Coup of 1898 and the Rise of White Supremacy,David Zucchino
Check & Mate,Ali Hazelwood
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health",Robert F. Kennedy Jr.
Wish You Were Here,Jodi Picoult
"The Creation of Me, Them and Us",Heather  Marsh
The Forest of Vanishing Stars,Kristin Harmel
The Fortunes of Jaded Women,Carolyn Huynh
Home Body,Rupi Kaur
A Magic Steeped in Poison,Judy I. Lin
Mad Honey,Jodi Picoult
Just as I Am,Cicely Tyson
Em,Kim Thúy
How High We Go in the Dark,Sequoia Nagamatsu
The Golden Enclaves,Naomi Novik
Cinderella Is Dead,Kalynn  Bayron
The Last Thing He Told Me,Laura Dave
Murder on Cold Street,Sherry Thomas
North Woods,Daniel       Mason
Instructions for Dancing,Nicola Yoon
"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Timothy Egan
This Poison Heart,Kalynn  Bayron
The ABCs of Black History,Rio Cortez
Well Matched,Jen DeLuca
The Wife Stalker,Liv Constantine
The Familiar Dark,Amy Engel
The Dawn of Everything: A New History of Humanity,David Graeber
The Ferryman,Justin Cronin
Glint,Raven Kennedy
Let Us Descend,Jesmyn Ward
Snapdragon,Kat Leyh
Breath: The New Science of a Lost Art,James Nestor
Our Woman in Moscow,Beatriz Williams
Fevered Star,Rebecca Roanhorse
Winterkeep,Kristin Cashore
Flamer,Mike Curato
"Poverty, by America",Matthew Desmond
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann
The Family,Naomi Krupitsky
The Girl Who Fell Beneath the Sea,Axie Oh
The Other Mrs.,Mary Kubica
Light from Uncommon Stars,Ryka Aoki
Lore Olympus: Volume Three,Rachel  Smythe
Minor Feelings: An Asian American Reckoning,Cathy Park Hong
System Collapse,Martha Wells
The Black Cabinet: The Untold Story of African Americans and Politics During the Age of Roosevelt,Jill  Watts
Unmasked: My Life Solving America's Cold Cases,Paul Holes
Violeta,Isabel Allende
Last Memoria,Rachel Emma Shaw
Abandoned in Death,J.D. Robb
The Witch King,H.E. Edgmon
The Civil War of Amos Abernathy,Michael Leali
The Ice Cream Man and Other Stories,Sam Pink
The Dominant Animal,Kathryn Scanlan
The Bard's Blade,Brian D. Anderson
A Girl Like Me,Angela           Johnson
A Million Kisses in Your Lifetime,Monica  Murphy
The Silence,Daisy Pearce
A Kind of Spark,Elle McNicoll
Every Last Fear,Alex Finlay
A Day Like This,Kelley McNeil
Shrines of Gaiety,Kate Atkinson
Followers,Megan Angelo
Safe No Longer,Gayle Curtis
Open Book,Jessica Simpson
Calling for a Blanket Dance,Oscar Hokeah
Glory,NoViolet Bulawayo
The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,Max Fisher
The River We Remember,William Kent Krueger
Buses Are a Comin': Memoir of a Freedom Rider,Charles Person
Letters to My Weird Sisters: On Autism and Feminism,Joanne Limburg
The Hotel Nantucket,Elin Hilderbrand
Godshot,Chelsea Bieker
How to Become a Planet,Nicole Melleby
A History of Wild Places,Shea Ernshaw
Yearbook,Seth Rogen
Bad Cree,Jessica Johns
Bride,Ali Hazelwood
Black Sunday,Tola Rotimi Abraham
Kent State,Deborah Wiles
The Sweeney Sisters,Lian Dolan
Upgrade,Blake Crouch
Jeg foreslår at vi våkner,Beate Grimsrud
Magic Claims,Ilona Andrews
The Passing Playbook,Isaac Fitzsimons
In the Lives of Puppets,T.J. Klune
"On Vanishing: Mortality, Dementia, and What It Means to Disappear",Lynn Casteel Harper
Everything Sad Is Untrue,Daniel Nayeri
Heroin chic,Maria Kjos Fonn
The Office of Historical Corrections: A Novella and Stories,Danielle  Evans
"White Cat, Black Dog: Stories",Kelly Link
Memorial Drive: A Daughter's Memoir,Natasha Trethewey
Defiant,Brandon Sanderson
Exiles,Jane Harper
The Gravity of Missing Things,Marisa  Urgo
Rosaline Palmer Takes the Cake,Alexis  Hall
Magic Tides,Ilona Andrews
Walk the Wire,David Baldacci
Boy Parts,Eliza  Clark
Fault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,Voddie T. Baucham Jr.
Run Towards the Danger: Confrontations with a Body of Memory,Sarah Polley
When Women Were Dragons,Kelly Barnhill
The 23rd Midnight,James Patterson
Stone Blind,Natalie Haynes
Prosper's Demon,K.J. Parker
The Life That Mattered,Jewel E. Ann
Ridgeline,Michael Punke
The Prophets,Robert Jones Jr.
Sweep of the Heart,Ilona Andrews
XOXO,Axie Oh
The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,Heather  McGhee
"A Map Is Only One Story: Twenty Writers on Immigration, Family, and the Meaning of Home",Nicole Chung
Ariadne,Jennifer Saint
The Sandman: Act I,Dirk Maggs
ReDawn,Brandon Sanderson
Running Against the Devil: A Plot to Save America from Trump — And Democrats from Themselves,Rick    Wilson
Sharpe's Assassin,Bernard Cornwell
The Jasmine Throne,Tasha Suri
Ruby Fever,Ilona Andrews
Broken,Jenny  Lawson
Afterlives,Abdulrazak Gurnah
One Italian Summer,Rebecca Serle
The War of Two Queens,Jennifer L. Armentrout
Tiger Mosquitoes: A Medical Crime Thriller,Kenneth J. Stein
Written in the Stars,Alexandria Bellefleur
Triple Cross,James Patterson
The Book Woman's Daughter,Kim Michele Richardson
The Running Grave,Robert Galbraith
Children of Ash and Elm: A History of the Vikings,Neil Price
A Very Stable Genius: Donald J. Trump's Testing of America,Philip Rucker
Axiom's End,Lindsay  Ellis
The Chosen and the Beautiful,Nghi Vo
Ten Steps to Nanette: A Memoir Situation,Hannah Gadsby
Monstrilio,Gerardo Sámano Córdova
Profiles in Ignorance: How America's Politicians Got Dumb and Dumber,Andy Borowitz
The Relentless Moon,Mary Robinette Kowal
The Lords of Night,J.C. Cervantes
Starling House,Alix E. Harrow
Victory at Prescott High,C.M. Stunich
Kaikeyi,Vaishnavi Patel
Arsenic and Adobo,Mia P. Manansala
Emerald Blaze,Ilona Andrews
The Age of Witches,Louisa Morgan
The Dark Archive,Genevieve Cogman
I Hate Men,Pauline Harmange
Entitled: How Male Privilege Hurts Women,Kate Manne
Lore,Alexandra Bracken
She Drives Me Crazy,Kelly Quindlen
Iron Heart,Nina Varela
In Ascension,Martin MacInnes
Bittersweet: How Sorrow and Longing Make Us Whole,Susan Cain
Absolution,Alice McDermott
Who Is Maud Dixon?,Alexandra  Andrews
The Lies I Tell,Julie   Clark
Lore Olympus: Volume Five,Rachel  Smythe
River Sing Me Home,Eleanor Shearer
Can the Monster Speak? A Report to an Academy of Psychoanalysts,Paul B. Preciado
Miss Benson's Beetle,Rachel Joyce
Medusa,Jessie Burton
The American Roommate Experiment,Elena  Armas
Rock Paper Scissors,Alice Feeney
Solito,Javier Zamora
The Wonder Boy of Whistle Stop,Fannie Flagg
Ejaculate Responsibly: A Whole New Way to Think About Abortion,Gabrielle Stanley Blair
Something Wilder,Christina Lauren
The Undertaking of Hart and Mercy,Megan Bannen
Mothered,Zoje Stage
22 Seconds,James Patterson
The Prison Healer,Lynette Noni
Big Friendship: How We Keep Each Other Close,Aminatou Sow
Kingdom of the Wicked,Kerri Maniscalco
A History of My Brief Body,Billy-Ray Belcourt
The Survivors,Jane Harper
Heart Bones,Colleen Hoover
Trust: America's Best Chance,Pete Buttigieg
The Mermaid of Black Conch,Monique Roffey
"Made in China: A Prisoner, an SOS Letter, and the Hidden Cost of America's Cheap Goods",Amelia Pang
Peril,Bob Woodward
School Trip,Jerry Craft
Three Sisters,Heather   Morris
Outlive: The Science and Art of Longevity,Peter Attia
In an Instant,Suzanne Redfearn
The Eagle's Claw,Jeff Shaara
The Last House on Needless Street,Catriona Ward
Soulswift,Megan Bannen
The Perfect World of Miwako Sumida,Clarissa Goenawan
Blood & Honey,Shelby Mahurin
21st Birthday,James Patterson
Easy Crafts for the Insane: A Mostly Funny Memoir of Mental Illness and Making Things,Kelly Williams Brown
Kingdom of the Cursed,Kerri Maniscalco
These Silent Woods,Kimi Cunningham Grant
The Heartstopper Yearbook,Alice Oseman
City Spies,James Ponti
Upright Women Wanted,Sarah Gailey
Dragon Hoops,Gene Luen Yang
What Comes After,JoAnne  Tompkins
Kate,Tate James
Find Me,Ashley N. Rostek
Our Last Days in Barcelona,Chanel Cleeton
Band of Sisters,Lauren Willig
"Unsettled: What Climate Science Tells Us, What It Doesn’t, and Why It Matters",Steven E. Koonin
One Damn Thing After Another: Memoirs of an Attorney General,William P. Barr
A Very Punchable Face,Colin Jost
"Again, Rachel",Marian Keyes
All the Sinners Bleed,S.A. Cosby
The Last Voyage of the Andrea Doria: The Sinking of the World's Most Glamorous Ship,Greg King
Everything Beautiful in Its Time: Seasons of Love and Loss,Jenna Bush Hager
The Bear,Andrew Krivak
A Billion Years: My Escape From a Life in the Highest Ranks of Scientology,Mike Rinder
The 20th Victim,James Patterson
Beyond Order: 12 More Rules For Life,Jordan B. Peterson
The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee
Lost in the Moment and Found,Seanan McGuire
The Girl in White Gloves,Kerri Maher
A Shining,Jon Fosse
Eden Mine,S.M. Hulse
Lords of Wrath,Angel Lawson
My Killer Vacation,Tessa Bailey
Isn't It Bromantic?,Lyssa Kay Adams
Wandering Souls,Cecile Pin
The Paris Apartment,Lucy Foley
Personal Effects: What Recovering the Dead Teaches Me About Caring for the Living,Robert A.  Jensen
When the Stars Go Dark,Paula McLain
Girls That Never Die: Poems,Safia Elhillo
All the Quiet Places,Brian Thomas Isaac
Excuse Me While I Ugly Cry,Joya Goffney
The Book of Cold Cases,Simone St. James
I Left The House Today!,Cassandra Calin
The River of Silver,S.A. Chakraborty
The End of the Day,Bill Clegg
Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett
Liar,Tate James
Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,Jessie Inchauspé
A Cat Story,Ursula Murray Husted
Once Upon a Wardrobe,Patti Callahan Henry
An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong
Fake,Tate James
The Other Black Girl,Zakiya Dalila Harris
Under The Great Elm: A Life of Luck & Wonder,Rich Flanders
Weather Girl,Rachel Lynn Solomon
The Wind Knows My Name,Isabel Allende
The True Love Experiment,Christina Lauren
The Darkness Outside Us,Eliot Schrefer
Indians on Vacation,Thomas King
Wandering in Strange Lands: A Daughter of the Great Migration Reclaims Her Roots,Morgan Jerkins
Defy or Defend,Gail Carriger
